Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=-4.9,20.295349937952636,9.578699121941602,15.999999999999773,-1.0,30.97333333333289,6.092338233144197
Alpha=-4.9,12.053739238664178,4.418794667262915,12.666666666666487,-1.0,7.260163961237986,1.5400619021800988
Alpha=-4.9,19.67470438543387,8.352606191377795,19.33333333333306,-1.0,19.526666666666387,1.9382884303992964
Alpha=-4.9,14.991588075577377,5.450144109583814,15.999999999999773,-1.0,10.559999999999851,2.1220304886729324
Alpha=-4.9,17.31544549255653,5.12011596032499,17.999999999999744,-1.0,17.452511312366823,2.1605232426069345
Alpha=-4.9,16.7102911490096,6.729088072821367,17.999999999999744,-1.0,17.81999999999975,2.044068215636058
Alpha=-4.9,16.4620465337424,6.7220754486698935,18.6666666666664,-1.0,17.83471085511838,1.8320643589834393
Alpha=-4.9,15.755129089164283,5.385690167286521,16.66666666666643,-1.0,16.159999999999766,1.8523978331866144
Alpha=-4.9,15.993801283444856,4.8801151174053246,16.66666666666643,-1.0,16.11105008218643,1.7583851754186954
Alpha=-4.9,11.64128143684829,2.9382784245881286,12.666666666666487,-1.0,12.002919083584597,0.9917296006056844
Alpha=-4.9,16.364563693900763,5.382478312126292,16.66666666666643,-1.0,16.159999999999766,2.078648146840499
Alpha=-4.9,16.31186424058348,6.296361747207394,15.333333333333115,-1.0,15.486666666666444,2.230692183902374
Alpha=-4.9,16.965807776812714,5.54123393368865,17.999999999999744,-1.0,17.506666666666415,2.179115375008764
Alpha=-4.9,22.602284258142767,7.698700525910203,22.666666666666345,-1.0,22.893333333333,2.4323835935430838
Alpha=-4.9,19.196768733602955,4.258997540562644,19.999999999999716,-1.0,19.34934180011189,2.2187059874272865
Alpha=-4.9,15.506220383200528,5.6306350979363735,16.66666666666643,-1.0,16.159999999999766,2.155611389018585
Alpha=-4.9,19.636139147972823,7.321720284776376,19.33333333333306,-1.0,19.13999999999973,2.540346641229064
Alpha=-4.9,16.85356385384733,7.840431362197161,17.999999999999744,-1.0,17.81999999999975,2.453425713100334
Alpha=-4.9,16.027182303736907,6.796866134607361,17.333333333333087,-1.0,16.83333333333309,2.4202527123234656
Alpha=-4.9,14.045290227601841,5.722113448850033,16.66666666666643,-1.0,9.23999999999987,1.9954906700779689
