Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=-3.0,17.427201181475528,5.183488984166356,17.999999999999744,-1.0,17.916760058165316,2.0791567236818844
Alpha=-3.0,19.541078867505174,7.409172677555354,19.999999999999716,-1.0,19.526666666666387,2.3918353865244213
Alpha=-3.0,20.62104506368275,6.755901722207012,19.999999999999716,-1.0,20.199999999999708,2.7201049010337472
Alpha=-3.0,16.372887710541008,7.106913580851195,17.333333333333087,-1.0,17.298560571397317,2.900137337208967
Alpha=-3.0,19.304457892789763,6.962519677227861,19.999999999999716,-1.0,20.12773592487098,2.3185281703032588
Alpha=-3.0,14.717739012613157,5.608601616814532,16.66666666666643,-1.0,16.159999999999766,2.36179990108041
Alpha=-3.0,22.27573762175197,7.932553649567084,22.666666666666345,-1.0,22.552151487679907,2.4388765572503255
Alpha=-3.0,17.814942286274984,4.688914040911486,18.6666666666664,-1.0,18.064097319740938,1.8823138092717504
Alpha=-3.0,18.737395145808225,6.8764519992348445,19.999999999999716,-1.0,19.487124741145358,2.2635352267796227
Alpha=-3.0,17.98869240694255,6.3474877362831466,18.6666666666664,-1.0,18.04835000683593,2.0973387760065947
Alpha=-3.0,22.96633974237337,6.251248183820257,23.333333333333,-1.0,23.366741756709537,2.4776195725492274
Alpha=-3.0,22.236626793916912,9.874247067740082,24.666666666666316,-1.0,23.759999999999664,2.642940648771429
Alpha=-3.0,21.900943258851306,8.458045349384582,21.999999999999687,-1.0,21.779999999999696,2.549158282981138
Alpha=-3.0,16.77588776147017,5.8421607666111255,17.333333333333087,-1.0,16.83333333333309,2.0049906694323045
Alpha=-3.0,21.60162526899085,7.859899051103859,20.666666666666373,-1.0,21.172265631581542,2.3352118451473993
Alpha=-3.0,21.579042203949253,8.128050147688727,21.33333333333303,-1.0,21.546666666666358,2.40423407624841
Alpha=-3.0,20.36130219651348,6.169668976819268,19.999999999999716,-1.0,19.526666666666387,2.178215539040625
Alpha=-3.0,15.179137782927969,2.6566574721847145,15.333333333333115,-1.0,15.219470716117574,1.6106380520005914
Alpha=-3.0,17.867443941905574,6.115741535906903,19.33333333333306,-1.0,18.85333333333306,2.218443492782814
Alpha=-3.0,15.992280271979801,5.648228900428323,16.66666666666643,-1.0,16.712745091815886,1.7396019292614633
