Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=0.0,24.47749216145405,8.476968696495302,23.99999999999966,-1.0,24.06671037344874,2.082752890186503
Alpha=0.0,24.432003283712273,7.934293595293339,25.333333333332973,-1.0,24.844453635345168,2.314333920405707
Alpha=0.0,24.437030853561716,5.1916130514671,24.666666666666316,-1.0,24.70260858585304,2.672603541679985
Alpha=0.0,24.430390935556826,5.054868827483677,25.333333333332973,-1.0,24.69159080011187,2.5780764548733224
Alpha=0.0,23.874657949489418,6.508639954984016,23.99999999999966,-1.0,23.98462918940881,2.6056285975985864
Alpha=0.0,22.892232085588102,7.330989980061734,23.333333333333,-1.0,23.40467963592168,2.1463034489985877
Alpha=0.0,24.401859692258792,4.605488131061181,24.666666666666316,-1.0,24.538854559990803,2.589185441951623
Alpha=0.0,24.474734331679443,5.346038069112314,24.666666666666316,-1.0,24.49721988912969,2.6527472684313085
Alpha=0.0,24.46613260268254,5.593133249540576,24.666666666666316,-1.0,24.62908991920439,2.6570284209970905
Alpha=0.0,23.622831405421618,5.169581883907632,23.99999999999966,-1.0,23.893025675941633,2.496257176763846
Alpha=0.0,24.795291329518125,5.582296143635111,24.666666666666316,-1.0,24.728679390636817,2.507745316172665
Alpha=0.0,23.98353572252774,6.039038866623686,24.666666666666316,-1.0,24.009667151928994,2.071482258163893
Alpha=0.0,23.687605055413698,6.637606346797078,23.99999999999966,-1.0,23.95807358220846,2.4424328850089534
Alpha=0.0,24.21844672459672,4.874233196303947,24.666666666666316,-1.0,24.419999999999664,2.6316676185060213
Alpha=0.0,22.950611799474487,9.088595361452283,23.333333333333,-1.0,31.646666666666214,3.591562570139576
Alpha=0.0,23.75461158121723,6.747776965970015,23.99999999999966,-1.0,23.930228459794456,2.236358189654386
Alpha=0.0,23.265599966200433,6.9050166677165015,23.99999999999966,-1.0,23.79861706545805,2.3752148593238993
Alpha=0.0,23.7804816212236,7.666123263618841,23.99999999999966,-1.0,24.183986081422017,2.2364350427413755
Alpha=0.0,22.191078664861855,7.2965895184871385,23.99999999999966,-1.0,30.97333333333289,3.2454198038192676
Alpha=0.0,24.77016553513326,4.360325950983066,24.666666666666316,-1.0,24.79629631243945,2.6136438019958153
