Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=-4.0,19.044048266700532,6.553725541193446,19.33333333333306,-1.0,19.13999999999973,2.621444241133389
Alpha=-4.0,18.056108844033204,7.894688977027192,20.666666666666373,-1.0,10.559999999999851,2.3112066493733754
Alpha=-4.0,14.652653027211384,3.1609397281174627,15.333333333333115,-1.0,14.743465585995862,1.7117878848927295
Alpha=-4.0,14.737103100714027,6.565594068642943,17.333333333333087,-1.0,18.47999999999974,2.193720938511205
Alpha=-4.0,15.833878046783076,5.899310759209381,14.666666666666458,-1.0,9.899999999999862,1.9327300877161102
Alpha=-4.0,12.455261128604254,3.9023366611221073,13.333333333333144,-1.0,12.79333333333315,1.2963410101790105
Alpha=-4.0,20.597519257687768,8.527434278367647,19.999999999999716,-1.0,19.799999999999724,1.8404818249241175
Alpha=-4.0,12.46475575274319,4.523782679140604,14.666666666666458,-1.0,13.466666666666473,1.7222718737230647
Alpha=-4.0,14.302863308758619,4.9486567381721365,15.333333333333115,-1.0,14.789884019224056,1.8416606343305617
Alpha=-4.0,18.602436629017657,4.789246606872204,19.33333333333306,-1.0,18.85333333333306,1.996011374611421
Alpha=-4.0,10.992325938062768,3.1360591672534155,11.333333333333172,-1.0,11.446666666666502,0.9705804267726412
Alpha=-4.0,11.532166772082684,3.6681757247725595,11.99999999999983,-1.0,12.119999999999827,1.2824685453400047
Alpha=-4.0,16.67816064564162,7.391824682642876,17.999999999999744,-1.0,17.44223340358399,1.8314424636734992
Alpha=-4.0,22.572222697459697,10.12118992656395,23.333333333333,-1.0,22.893333333333004,2.5280603065257923
Alpha=-4.0,19.94061260310459,7.341542447702975,19.33333333333306,-1.0,19.81632922236364,2.3208069594789706
Alpha=-4.0,18.81152652812944,7.91584420190317,18.6666666666664,-1.0,18.179999999999737,2.798525977842725
Alpha=-4.0,22.286271466679743,9.01202377785335,22.666666666666345,-1.0,22.657324078096405,2.7536766068834244
Alpha=-4.0,15.529398395237525,4.009017075077648,15.999999999999773,-1.0,15.839999999999776,1.882418528794675
Alpha=-4.0,14.798392864000927,5.1103477130512,15.333333333333115,-1.0,15.229859936979459,1.696028986643991
Alpha=-4.0,14.345028286671626,3.395357754879768,14.666666666666458,-1.0,14.519999999999795,1.461980138086354
