Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=2.0,26.016237490850635,8.699260488019064,26.666666666666288,-1.0,26.259999999999625,2.2409416508835527
Alpha=2.0,47.30294593889277,28.747663736295102,46.666666666666,-1.0,22.893333333333004,10.597754403245329
Alpha=2.0,26.792679697926356,9.10726660677626,55.999999999999204,-1.0,38.93999999999945,12.424150168529641
Alpha=2.0,26.110893897991517,9.483678085504014,67.33333333333238,-1.0,36.29999999999949,14.006927492272688
Alpha=2.0,27.5185235460161,10.95808827797196,49.99999999999929,-1.0,21.546666666666358,7.76373758171317
Alpha=2.0,25.892554694246677,8.381451775260976,61.33333333333246,-1.0,36.29999999999949,6.291914039001878
Alpha=2.0,28.104990374032884,10.113958988176837,29.333333333332916,-1.0,28.953333333332917,2.445250388912583
Alpha=2.0,26.45401820372152,6.044747894540909,27.333333333332945,-1.0,26.7091902415574,2.7708812915287404
Alpha=2.0,25.60025420220403,9.214953573914658,27.333333333332945,-1.0,14.813333333333121,4.648693426474586
Alpha=2.0,25.409282568063347,9.007627394867136,56.66666666666586,-1.0,32.99999999999954,13.306107501072127
Alpha=2.0,33.00108896926578,13.273494933348765,32.6666666666662,-1.0,18.179999999999737,6.170412050236363
Alpha=2.0,25.077209199053748,8.98828869417179,27.333333333332945,-1.0,17.15999999999976,4.061139186140276
Alpha=2.0,30.623084748476437,11.821897995387765,30.66666666666623,-1.0,15.486666666666444,5.2752691699827
Alpha=2.0,45.455121427573516,19.99858579265564,49.99999999999929,-1.0,24.239999999999654,8.282320680580243
Alpha=2.0,52.88783414382707,28.950620465692758,51.333333333332604,-1.0,52.51999999999925,5.023930357733413
Alpha=2.0,26.299302516624795,8.245389065759126,27.333333333332945,-1.0,26.658069746970973,2.591921946298363
Alpha=2.0,38.08432997137045,17.05008867220215,39.333333333332774,-1.0,20.199999999999708,6.018034482154379
Alpha=2.0,23.901860753457917,7.366686696006488,25.333333333332973,-1.0,34.339999999999506,4.72995294212051
Alpha=2.0,27.17654822297455,9.34358044714671,27.333333333332945,-1.0,26.933333333332946,2.3338591183109907
Alpha=2.0,24.711085583457834,7.542024674866724,25.333333333332973,-1.0,35.01333333333283,6.031159164782355
