Alpha=-5.0,16.515691100872136,5.842194274409886,17.333333333333087,-1.0,16.83333333333309,2.028155508074327
Alpha=-5.0,19.90994818048924,8.701780338672352,19.33333333333306,-1.0,19.526666666666387,2.084915719035909
Alpha=-5.0,16.744150870025226,5.740875467367343,16.66666666666643,-1.0,16.620988902590632,2.107881309220531
Alpha=-5.0,13.567004644510957,5.09063082744354,15.333333333333115,-1.0,14.139999999999798,2.310509540273913
Alpha=-5.0,15.346614879688858,2.8899203292748727,15.999999999999773,-1.0,15.402279273514914,1.6737284572287996
Alpha=-5.0,20.22100390435264,7.306836174817081,20.666666666666373,-1.0,20.459999999999713,2.6165777689475807
Alpha=-5.0,14.993092948972947,5.089545119033346,15.333333333333115,-1.0,14.813333333333121,1.6717023130049227
Alpha=-5.0,15.971570884268722,5.153828513390296,17.333333333333087,-1.0,16.83333333333309,2.205501512537873
Alpha=-5.0,15.907205916938695,6.848809938486649,17.999999999999744,-1.0,17.506666666666415,2.5937271157286186
Alpha=-5.0,19.940442389398434,9.821787224319664,19.33333333333306,-1.0,18.85333333333306,1.8203492817463995
Alpha=-5.0,15.273926730931162,5.09646039673413,15.999999999999773,-1.0,15.445763284816236,1.8651267075280127
Alpha=-5.0,11.981318414468946,3.515128033932275,24.666666666666316,-1.0,24.08230100941906,2.001930255883039
Alpha=-5.0,11.83104747521891,3.5087050384510463,11.99999999999983,-1.0,12.119999999999827,1.293944609505575
Alpha=-5.0,15.642218912997395,6.670857536912065,15.333333333333115,-1.0,15.486666666666444,2.360700153605087
Alpha=-5.0,11.875290909135993,3.5252659148851215,12.666666666666487,-1.0,12.119999999999827,1.049465678809299
Alpha=-5.0,22.212755374546663,9.586650285775708,21.999999999999687,-1.0,21.450356848793817,2.4257946153187837
Alpha=-5.0,15.799736585138605,7.791683977843163,15.999999999999773,-1.0,8.020034565779307,1.6839868994377198
Alpha=-5.0,11.036982079710008,3.6793425262375123,21.33333333333303,-1.0,21.119999999999703,1.6978213142848153
Alpha=-5.0,16.510428381000025,5.61074465007747,17.333333333333087,-1.0,16.83333333333309,2.088382690636769
Alpha=-5.0,15.0452084077691,2.5107950476893297,15.333333333333115,-1.0,15.18000000001117,1.5834241319516338
