Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=4.0,28.54777293585797,9.553663534356762,63.33333333333243,-1.0,40.1203446644239,4.758786168116761
Alpha=4.0,25.225106198852217,8.72877799853298,50.66666666666595,-1.0,31.679999999999552,9.983409308863227
Alpha=4.0,43.82853369652099,20.253183139862465,49.33333333333263,-1.0,24.913333333332975,8.939617001536128
Alpha=4.0,59.679181355331124,35.25532661613869,49.99999999999929,-1.0,24.239999999999654,11.195475543426916
Alpha=4.0,46.59970376954313,26.433529059584057,53.99999999999923,-1.0,23.56666666666633,10.981944395695145
Alpha=4.0,48.66577101700804,20.050918089048757,96.6666666666653,-1.0,35.686666666666156,19.056942092888164
Alpha=4.0,51.819501719681575,31.975968122841675,61.33333333333246,-1.0,32.99999999999954,9.75092984273735
Alpha=4.0,36.614776449945055,16.84455292032684,46.666666666666,-1.0,23.82053439725111,7.970277354946519
Alpha=4.0,28.79420529746791,12.43307942552488,67.33333333333238,-1.0,21.546666666666358,15.132889801708979
Alpha=4.0,40.9896489111791,16.16708392152672,39.99999999999943,-1.0,40.29317025142253,3.721002496130636
Alpha=4.0,26.420231668981067,7.988353823002728,27.333333333332945,-1.0,37.59510886544201,4.954651246302681
Alpha=4.0,45.31018698822744,18.939866796440654,48.666666666665975,-1.0,24.239999999999654,8.550124848938243
Alpha=4.0,31.828501981569858,13.837489638418045,33.99999999999952,-1.0,17.506666666666415,5.916540433494068
Alpha=4.0,27.439143000343005,7.793034433535472,56.66666666666586,-1.0,37.61999999999947,9.208222838099067
Alpha=4.0,60.074806837657256,30.08028518856985,66.66666666666572,-1.0,32.99999999999954,9.960116899286925
Alpha=4.0,35.450373679693904,10.600219578614725,35.33333333333283,-1.0,35.686666666666156,3.4051457948454704
Alpha=4.0,60.89036732507012,30.362085752755146,64.66666666666575,-1.0,28.953333333332917,11.072162530573898
Alpha=4.0,59.8135309584972,38.22715735525864,59.33333333333249,-1.0,26.933333333332946,11.187463589378224
Alpha=4.0,51.50830137807203,28.712646102315137,62.666666666665776,-1.0,30.359999999999573,9.727286744679411
Alpha=4.0,55.41795301601262,21.753913490997917,51.99999999999926,-1.0,52.51999999999925,5.409844244949974
