Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=-4.7,13.383765945739885,3.8013045703476465,13.999999999999801,-1.0,13.466666666666473,1.4852920629309554
Alpha=-4.7,20.91395092252116,8.471416281362897,21.33333333333303,-1.0,21.24562118290415,2.4867933522809973
Alpha=-4.7,21.579384463713733,9.56894321681948,21.33333333333303,-1.0,9.899999999999862,2.713398350041278
Alpha=-4.7,19.100807393143207,6.931857851272675,18.6666666666664,-1.0,18.85333333333306,2.2184749927186815
Alpha=-4.7,17.53597087335344,6.567724107828447,19.33333333333306,-1.0,18.85333333333306,2.3043989433274796
Alpha=-4.7,20.12376977428828,9.121126693496544,20.666666666666373,-1.0,20.199999999999708,2.19578452019859
Alpha=-4.7,15.769144669663486,6.437204489974576,16.66666666666643,-1.0,16.159999999999766,1.9276092936056888
Alpha=-4.7,14.628049624664762,7.3363978057830606,17.333333333333087,-1.0,24.239999999999654,2.0991195707072547
Alpha=-4.7,16.657847821609703,6.126366423306378,16.66666666666643,-1.0,16.773336801978946,2.0676636984752954
Alpha=-4.7,18.995985493781614,7.9923153459175325,19.33333333333306,-1.0,19.342848583700835,2.2905982108980854
Alpha=-4.7,15.845060953856015,6.311758300659054,15.333333333333115,-1.0,9.23999999999987,1.8481659790758351
Alpha=-4.7,14.919785652426096,6.860280188867035,15.999999999999773,-1.0,8.57999999999988,1.7329581295167744
Alpha=-4.7,16.186079582356136,7.821046531024951,17.333333333333087,-1.0,17.84650367044121,1.835369295729065
Alpha=-4.7,22.311227296789294,9.29239789945975,19.999999999999716,-1.0,12.539999999999823,3.028715737196163
Alpha=-4.7,16.0685458402088,6.995301586181576,17.333333333333087,-1.0,16.49999999999977,2.4344810071645995
Alpha=-4.7,15.322123310479139,6.359767001978945,11.99999999999983,-1.0,16.11365539418957,3.082486996966476
