Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=-4.8,17.428875185635,5.926773125309612,18.6666666666664,-1.0,17.81999999999975,2.3752056279224236
Alpha=-4.8,15.847594197311846,5.379386252982753,16.66666666666643,-1.0,16.159999999999766,2.185405983587084
Alpha=-4.8,9.253794996225551,2.2158517195283567,18.6666666666664,-1.0,18.47999999999974,1.5290760118299105
Alpha=-4.8,16.47418160944461,6.606974818424279,17.999999999999744,-1.0,17.36302620452478,2.078009658258015
Alpha=-4.8,14.53621730449529,5.76036223535583,14.666666666666458,-1.0,14.139999999999798,1.8077383466142276
Alpha=-4.8,19.15509524927084,8.983982650345174,19.33333333333306,-1.0,10.099999999999854,2.4752291484560094
Alpha=-4.8,14.682985000258892,3.3711864807388032,15.333333333333115,-1.0,14.748002166172418,1.6173543147053442
Alpha=-4.8,15.593749907890105,6.740382980747363,16.66666666666643,-1.0,8.57999999999988,1.6777379010323894
Alpha=-4.8,12.91248674502787,4.853884479903005,13.999999999999801,-1.0,13.466666666666473,1.4141581262897176
Alpha=-4.8,16.01547187874277,5.912380761593679,17.999999999999744,-1.0,17.85826881890859,2.0989069242029044
Alpha=-4.8,16.713644963814673,5.807582725975503,17.333333333333087,-1.0,17.230266769231434,2.043441499502513
Alpha=-4.8,15.883241903469512,7.016122634868931,14.666666666666458,-1.0,15.486666666666444,1.86771139368998
Alpha=-4.8,12.584405583222862,3.9704002263351135,13.333333333333144,-1.0,13.466666666666473,1.5219483721046325
Alpha=-4.8,20.56517446030897,10.22446329534005,21.33333333333303,-1.0,21.321865439701693,2.209388239356981
Alpha=-4.8,14.777501144575847,5.495067792760407,16.66666666666643,-1.0,10.559999999999851,2.293084924095596
Alpha=-4.8,16.345120352616892,5.434478480853833,17.333333333333087,-1.0,16.738040122267027,1.525085258821286
Alpha=-4.8,16.63897529116811,6.179873173387598,17.999999999999744,-1.0,17.506666666666415,2.3629132657508927
Alpha=-4.8,14.528848851237493,5.756122070359181,17.999999999999744,-1.0,16.159999999999766,2.425149595146323
Alpha=-4.8,7.535405658752925,1.3041171994796243,15.333333333333115,-1.0,14.813333333333121,0.9172655926000521
Alpha=-4.8,10.988854306515002,2.403967118879066,11.333333333333172,-1.0,11.285114375618798,0.9982623994457561
