Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=0.2,24.463315418892194,7.490297748720603,24.666666666666316,-1.0,24.429937872098364,2.0459716286419263
Alpha=0.2,24.641058050008322,5.3801942419700985,24.666666666666316,-1.0,24.83269877874603,2.701142254747351
Alpha=0.2,23.151117813568273,6.954989019727771,23.99999999999966,-1.0,32.31999999999953,3.429771584882343
Alpha=0.2,24.397898298407426,7.429127179363783,24.666666666666316,-1.0,24.599620915927094,2.3386394908855554
Alpha=0.2,24.852667040623952,6.6149738600803785,25.333333333332973,-1.0,25.259140874915214,2.579268602816642
Alpha=0.2,24.450017790950916,4.866420404782776,25.333333333332973,-1.0,24.913333333332975,2.705396640309383
Alpha=0.2,24.617732898846313,7.77732733067032,24.666666666666316,-1.0,24.860313824312744,2.4005519526554124
Alpha=0.2,23.329593768432982,4.631980746175112,23.99999999999966,-1.0,23.49624053102641,2.6896850306433717
Alpha=0.2,24.603092871118196,10.746784009504768,53.333333333332575,-1.0,15.486666666666444,5.67561795321049
Alpha=0.2,24.387213048107014,7.222098983723938,24.666666666666316,-1.0,24.51353443171845,2.5174976775077376
Alpha=0.2,24.461111774291957,6.714576653224064,24.666666666666316,-1.0,24.789053918238977,2.52909335019016
Alpha=0.2,24.072248968230696,6.850504976246489,24.666666666666316,-1.0,24.21596661390567,2.6030748844411082
Alpha=0.2,23.705771597830285,6.287111448052541,24.666666666666316,-1.0,24.239999999999654,2.4484961595105985
Alpha=0.2,25.725073032261406,8.165979238749008,24.666666666666316,-1.0,25.26676413998733,2.364806085467684
Alpha=0.2,24.08432219699985,10.48276449507348,24.666666666666316,-1.0,24.60168319082707,2.0092701226799043
Alpha=0.2,24.775353277569682,7.262200622213091,25.333333333332973,-1.0,25.107975955713652,2.4579056707008413
Alpha=0.2,25.189774645844313,7.7939775016918755,25.99999999999963,-1.0,25.405997962553375,2.3211705492668337
Alpha=0.2,25.00816351671937,7.184692667145787,24.666666666666316,-1.0,24.616943948185057,2.14061896150256
Alpha=0.2,24.838399829262908,6.278193004367166,24.666666666666316,-1.0,24.913333333332975,2.622435934450754
Alpha=0.2,24.7979533430396,5.534583437115278,25.333333333332973,-1.0,24.91333333333249,2.6731226618287236
Alpha=0.2,24.7979533430396,5.534583437115278,25.333333333332973,-1.0,24.91333333333249,2.6731226618287236
Alpha=0.2,24.17960152515455,7.705781698008271,24.666666666666316,-1.0,24.65079358640437,2.503058488724479
Alpha=0.2,23.28291350375723,7.018313854876708,24.666666666666316,-1.0,24.54929596290485,2.268466699845996
Alpha=0.2,24.99204235008067,9.41788006603109,25.99999999999963,-1.0,25.382704835351134,2.3275860654537284
Alpha=0.2,24.02398015969096,6.660961051155365,24.666666666666316,-1.0,24.239999999999654,2.5358736169088507
Alpha=0.2,25.124817220598278,6.278322943555052,25.333333333332973,-1.0,25.192645336256618,2.6036410585860943
Alpha=0.2,24.2073570940264,9.189389052110332,57.33333333333252,-1.0,31.679999999999552,11.568081464145434
Alpha=0.2,25.612928149492117,4.632255414077209,25.99999999999963,-1.0,25.5866666666663,2.820366702109575
Alpha=0.2,24.68206737148597,5.20565594484454,24.666666666666316,-1.0,24.841721207020246,2.6792914802031724
Alpha=0.2,24.82952095781978,5.377835350311646,25.333333333332973,-1.0,24.913333333332975,2.4984697503391717
Alpha=0.2,24.84569215327906,8.047547548772432,25.333333333332973,-1.0,35.01333333333283,5.279712594649412
Alpha=0.2,23.150425367636448,7.411587409554471,23.99999999999966,-1.0,23.940264614825928,2.2827139680843795
Alpha=0.2,26.10565443704725,9.066970307976241,24.666666666666316,-1.0,25.079999999999647,2.3951292032198648
Alpha=0.2,23.989852464568003,8.959200992548176,24.666666666666316,-1.0,24.652611741709705,2.0877051964032933
Alpha=0.2,24.736054851320034,8.394237377016447,24.666666666666316,-1.0,24.731922436918808,2.4222989643179806
Alpha=0.2,24.80591643832085,6.443313667745674,24.666666666666316,-1.0,24.75773250434504,2.5433712479460144
Alpha=0.2,24.067163946120136,6.220239628496399,24.666666666666316,-1.0,24.522227118939448,2.5207047356624885
Alpha=0.2,24.43438335784909,5.967073204550603,24.666666666666316,-1.0,24.433520675104063,2.324069520254134
Alpha=0.2,25.105428399545378,4.786748047595075,25.333333333332973,-1.0,25.179953794311412,2.739372001841039
Alpha=0.2,24.093628813379617,6.3435737065183035,24.666666666666316,-1.0,24.239999999999554,2.3946067214236693
Alpha=0.2,22.92865004245734,8.12694142477675,23.99999999999966,-1.0,23.864268632225833,2.0601955135453425
