Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=-2.0,23.293920482928048,8.508904416716964,22.666666666666345,-1.0,22.893333333333004,3.05974259322489
Alpha=-2.0,20.503997890599788,6.977571375911149,20.666666666666373,-1.0,20.614518146584654,2.2182854419049547
Alpha=-2.0,19.87105838138246,7.323372176798438,19.999999999999716,-1.0,20.199999999999708,2.3417081729227545
Alpha=-2.0,19.997086872503587,7.056976626012531,19.999999999999716,-1.0,20.081041857653496,2.3617954837580033
Alpha=-2.0,16.660796795624872,6.850180231926382,18.6666666666664,-1.0,25.5866666666663,2.823032344138172
Alpha=-2.0,20.088745413157337,8.375768447008305,19.33333333333306,-1.0,19.526666666666387,2.725088573522628
Alpha=-2.0,18.156519300199054,5.865556458361243,19.33333333333306,-1.0,18.85333333333306,2.2125093656597583
Alpha=-2.0,21.260405406471953,7.866833802236198,19.33333333333306,-1.0,19.836940064379533,2.2363036752179797
Alpha=-2.0,20.37322803204426,6.758884238396674,19.999999999999716,-1.0,19.998380079671882,2.2835147529148974
Alpha=-2.0,21.554835371174587,6.8988374922930795,21.33333333333303,-1.0,21.36168386799974,2.4145462504479953
Alpha=-2.0,20.66264729119826,6.868499267731095,19.33333333333306,-1.0,19.799999999999724,2.111034978646988
Alpha=-2.0,21.881764019647722,6.718870378475355,21.33333333333303,-1.0,21.378758885117243,2.4339848097887544
Alpha=-2.0,21.964185817927977,7.2412209551019995,21.33333333333303,-1.0,21.434949780044775,2.499393086273559
Alpha=-2.0,18.434895935212996,5.917600595933896,19.33333333333306,-1.0,18.817319184670055,1.9605032175465351
Alpha=-2.0,20.146809582198472,6.595255416462107,19.999999999999716,-1.0,19.818236331291757,2.3328982781002505
Alpha=-2.0,22.61202672218079,6.1782621943365,21.999999999999687,-1.0,22.463205584057654,2.514793472607186
Alpha=-2.0,20.40235500276362,6.406247557545729,19.999999999999716,-1.0,20.13125392207242,2.2585414750131854
Alpha=-2.0,20.400017132400226,5.81658867777782,19.999999999999716,-1.0,20.13162663975378,2.450437238653642
Alpha=-2.0,20.997741363715022,5.840958164475623,21.33333333333303,-1.0,21.251958160045454,2.3068873706804314
Alpha=-2.0,20.584808471430602,6.400334046077609,20.666666666666373,-1.0,20.470364400092866,2.2163869176768918
