target_id,prot_ps,prot_acf,prot_cs,e_prot_ps,E_prot_ps,e_prot_acf,E_prot_acf,e_prot_cs,E_prot_cs,sph_ps,sph_acf,sph_cs,e_sph_ps,e_sph_acf,e_sph_cs,h_ps,fa_prob_ps,hacf,gacf,hcs
891901,5.578235180532771,51.57494720444083,5.642370131542712,0.2764163793779811,0.2764163793779811,-1.0,-1.0,0.0205143968283729,0.0205143968283729,627.0050005648312,773.889577509648,620.9578004834567,259.0389087568052,101.48397640960972,224.7348095806472,223.350083802037,1.0006704430319528e-97,0.277619318461927,0.1096374544710351,0.0225754870097741
1162339,0.4931047437206124,-1.0,2.970721298447569,0.2963405004512651,0.2963405004512651,-1.0,-1.0,0.0575456891667155,0.0575456891667155,462.87232423969385,-1.0,972.0736175620488,359.87425226940843,-1.0,601.1781041530356,360.105989621798,4.054672736994368e-157,-1.0,-1.0,0.0393557617405472
1163248,47.06731929498614,59.625770832411945,5.745410205785225,7.389056098930004,7.389056098930004,-1.0,-1.0,0.0178127303357753,0.0178127303357753,540.8584135056456,541.7759449886153,439.6462524330017,85.01640014682759,41.77808110221658,145.1653107243502,19.24594629595452,4.38118633735616e-09,0.2719483860929743,0.1354940025645135,0.5729042353751009
1164583,50.32762164673929,43.89169500768185,1.7713719860852035,7.389056098930649,7.389056098930649,-1.0,-1.0,0.0578479524088018,0.0578479524088018,1650.289140005654,1642.5108834493549,750.337997372475,485.8228033912373,463.4377240640282,411.2125795898028,13.528434409412071,1.3325256795136467e-06,0.6351926344393195,0.3171020059818041,1.4491150161769504
1433067,47.0692892421897,-1.0,30.748690187931064,7.389056098930649,7.389056098930649,-1.0,-1.0,1.631485259303726,1.631485259303726,1197.30664318088,-1.0,1142.5646036280662,307.5574551979795,-1.0,360.06947216827234,26.02864831230061,4.964798952010045e-12,-1.0,-1.0,0.207284999875158
1725330,25.15783471540898,24.807337937876586,25.40626963059417,2.5641235276361067,2.5641235276361067,-1.0,-1.0,1.2660613156525642,1.2660613156525642,2455.346059772595,2514.6503894540183,2499.771310537642,501.2889873582576,537.1207676146926,534.4998859694493,28.09440277570626,6.291524644900975e-13,0.6647906330689162,0.3193763811326853,0.963700419032274
1865663,31.72834632964614,31.20241091726348,31.41635279172566,3.3935779046822105,3.3935779046822105,-1.0,-1.0,1.34788755519884,1.34788755519884,2718.428382314521,2700.637637461497,2709.5169252319674,634.6293841159547,720.5820419606255,695.8189729668779,46.08467295697339,9.675665246706772e-21,0.9735688972411696,0.4972703885479717,0.9827811721385418
1873367,2.7000796629588235,-1.0,2.6740509066711597,2.708531686475978,2.708531686475978,-1.0,-1.0,0.0105099731144978,0.0105099731144978,397.40724186828817,-1.0,395.5181497838872,104.1170200668192,-1.0,109.23251635341433,24.133919916361886,3.301959587315897e-11,-1.0,-1.0,0.2580125671068304
2012265,16.585221565688364,34.51256757695228,1.3621123432288655,4.740711360620464,4.740711360620464,-1.0,-1.0,2.235400469929394,2.235400469929394,1671.2804947751044,1729.5700644126805,816.7370948581602,461.7961968741598,408.7751853859137,265.21698776453894,11.801181882673438,7.495693647399248e-06,0.239696884264134,0.0206234213378179,4.308152776316194
2012690,8.899394636462612,8.888680238742381,8.945231318546034,0.3467444929048878,0.3467444929048878,-1.0,-1.0,0.251027107147049,0.251027107147049,3576.0053805782786,3582.4225881466755,3560.5000100901443,1260.9812680311863,1255.5356198962684,1274.1023620099006,117.02098587439076,1.5081049585219352e-51,1.0836808152027313,0.6085689031909729,0.9664002579701746
2019658,0.4548166247955983,-1.0,6.30511138560916,0.6881958821449833,0.6881958821449833,-1.0,-1.0,0.2155390663570479,0.2155390663570479,655.8655462448007,-1.0,1089.054567647048,102.01070512621637,-1.0,456.1471512677845,12.440914004940126,3.953481381017026e-06,-1.0,-1.0,0.3869887538931719
2161250,2.8550355669454506,-1.0,2.133043262491695,1.623405108025106,1.623405108025106,-1.0,-1.0,0.0363773691058075,0.0363773691058075,918.287747129678,-1.0,875.4569310976285,224.2358226302146,-1.0,192.53425441227708,21.998333060967585,2.7941218437945364e-10,-1.0,-1.0,0.4614133847565508
2164105,4.740330840007622,-1.0,4.746758286887779,2.2256967964779126,2.2256967964779126,-1.0,-1.0,0.2915505211804561,0.2915505211804561,637.3116114230121,-1.0,631.5980330786479,167.86595304986534,-1.0,159.35990461611289,20.02869410551564,2.002851132050813e-09,-1.0,-1.0,0.3398672948289354
2165531,0.39789770959215,-1.0,3.1355652976082644,0.8976637270250313,0.8976637270250313,-1.0,-1.0,1.6006966622340126,1.6006966622340126,929.8155844299628,-1.0,1043.8681865301962,150.66084763032285,-1.0,184.4342973502394,12.962789861516187,2.346020987918497e-06,-1.0,-1.0,0.1604946779344724
